loan_age_weeks,rows,coverage,mean_abs_error,mean_width,max_abs_error
1,13,1.0,0.005438074121213285,0.03114236887801475,0.0113541993744585
2,13,1.0,0.008174050976836645,0.04420038176034376,0.0180263326453361
3,13,1.0,0.007701959989210945,0.05603440152656488,0.0185881601317867
4,13,1.0,0.01065042819139014,0.05937335279202865,0.0280893202970244
5,13,0.9230769230769231,0.01160439151015914,0.061838560103886886,0.0340004187232273
6,13,0.9230769230769231,0.01272761373587996,0.06398079823845777,0.035225812569313
7,13,0.9230769230769231,0.011683707995988715,0.0658729630648121,0.0363372737546453
8,13,0.9230769230769231,0.011113137927005884,0.06756740458175413,0.0363372737546453
9,13,0.9230769230769231,0.012659084451728714,0.0687315768230061,0.0386667229444071
10,13,0.9230769230769231,0.012565662887862468,0.06883165211773329,0.0390596803966184
11,13,0.9230769230769231,0.012472319657710717,0.0689311440047767,0.0394523180970116
12,13,0.9230769230769231,0.0123790546743034,0.06903005866112187,0.0398446363735036
13,13,1.0,0.014554092117868555,0.07435939056437255,0.0362550101007286
