cohort_week,rows,coverage,mean_abs_error,mean_width,max_abs_error
1,13,1.0,0.009736454773474653,0.06022508043006927,0.0246248776010536
2,13,1.0,0.0063494582002682765,0.060322902480287016,0.0128362003388247
3,13,1.0,0.010959012062248807,0.0601033631570601,0.0230319949695465
4,13,1.0,0.0078603660701556,0.06007666568831186,0.0181018974071915
5,13,1.0,0.01655026983780097,0.06027614947986949,0.0347631580175469
6,13,1.0,0.013583029398260938,0.060676914186940475,0.020361184292783
7,13,1.0,0.010682536443623538,0.062023695930673105,0.0197823580743271
8,13,1.0,0.006087904144466477,0.06109945436585062,0.0200849096885653
9,13,1.0,0.012137081271133054,0.06191478502488645,0.0189111156019105
10,13,1.0,0.004673384157091169,0.06187076960794494,0.0139797954687061
11,13,1.0,0.004904472058023385,0.06410396069098613,0.0107191530591282
12,13,1.0,0.009591237896239623,0.06451867704340371,0.0180263326453361
13,13,0.38461538461538464,0.030608371924372078,0.06268163503059027,0.0398446363735036
