bin,n,p_min,p_max,mean_predicted_pd,observed_default_rate,abs_calibration_error,wilson_half_width_90,wilson_lower_90,wilson_upper_90
0,1035,0.0055392720306513404,0.05233872558209848,0.03480696529044694,0.025120772946859903,0.009686192343587037,0.008086736648725204,0.018272378400259887,0.03444585169771029
1,1050,0.05241116907025907,0.07072646597298075,0.06335421435369146,0.05619047619047619,0.007163738163215264,0.011731381872923725,0.0455999253170394,0.06906268906288685
2,1019,0.07072995162388576,0.09049950611035644,0.08052372547265342,0.08145240431795878,0.0009286788453053557,0.014120438088743555,0.06844050452681946,0.09668138070430657
3,1035,0.09052371238140333,0.11536147600523794,0.10291877393100385,0.10241545893719807,0.0005033149938057785,0.015517462586061681,0.0879347771751944,0.11896970234731777
4,1036,0.11536938789463325,0.14872860340889443,0.13074319286827893,0.12451737451737452,0.006225818350904411,0.016880632976069766,0.10861494456233914,0.14237621051447866
5,1033,0.14880576930257675,0.19876383244977733,0.17333451319050197,0.16844143272023232,0.004893080470269651,0.019149760846985983,0.1501579464244861,0.1884574681184581
6,1038,0.19882163463696692,0.2615255442247204,0.22795318703806916,0.2302504816955684,0.002297294657499227,0.021478727065845065,0.209473152452677,0.2524306065843671
7,1030,0.2616372723704002,0.3420759369837058,0.3009918466828305,0.29514563106796116,0.005846215614869366,0.023353940718491267,0.2723284752914279,0.31903635672841046
8,1034,0.34227866796738166,0.4617728880025691,0.40113083449349085,0.41876208897485495,0.0176312544813641,0.025206590397241768,0.393767546943187,0.44418072773767053
9,1035,0.4618789071910476,0.999,0.6386335415897221,0.6521739130434783,0.013540371453756195,0.02432480221007813,0.6274522870672053,0.6761018914873617
