buffer_per_dollar,approved_labeled,approval_rate_labeled,realized_npv_labeled,expected_npv_labeled,mean_pd_approved_labeled
0.005,2015,0.7898863190905527,2576344.9421162596,3416966.0054018726,0.13645025433304134
0.0125,1950,0.764406115248922,2562330.3123103445,3399806.6172244423,0.13050532022560926
0.0075,2000,0.7840062720501764,2561941.7073417054,3414266.644317438,0.13515639427744422
0.015,1927,0.755390043120345,2549975.2776369015,3391048.794524681,0.1286237301609645
0.0025,2028,0.7949823598588789,2532954.7778709037,3418428.5149347074,0.1376734791278421
0.025,1838,0.7205017640141121,2526159.2287142626,3339927.775501471,0.12089776337422029
0.02,1882,0.737749901999216,2525078.73423336,3368220.5272423886,0.12455397000502583
0.0,2048,0.8028224225793806,2523919.4910286954,3419138.6375536774,0.139536969914851
0.03,1781,0.6981575852606821,2522721.837041127,3294230.5299367,0.11604521716523372
0.01,1974,0.7738141905135241,2518803.695166551,3407509.362000287,0.13274779710332735
0.04,1680,0.6585652685221481,2469719.313087782,3191503.839527823,0.10860334697678659
-0.01,2112,0.8279106232849863,2468624.504865983,3409604.13212045,0.14588252253683445
-0.02,2157,0.8455507644061152,2401646.360654738,3388822.2179601276,0.1506418068453907
0.05,1556,0.6099568796550372,2362314.5931691052,3028976.8001925196,0.10041918908738902
