feature_name,count,intervention_class,outside_min_max_rate,outside_p01_p99_rate,unseen_category_rate,raw_sign_violation_count,monotonic_guard_count,sign_violation_count,mean_delta_final,mean_interval_width
stated_time_in_business,68,self_report_proxy,0.0,0.0,0.0,22,22,0,-0.0004113653911755,0.1315492306644227
observed_revenue_trend_3mo,53,observed_business_state,0.0,0.0,0.0,4,4,0,-0.0002387968620205,0.088696272950349
existing_debt_obligations,52,credit_state_intervention,0.0,0.0,0.0,26,26,0,-0.0009407460624064,0.0967163553726938
observed_revenue_volatility,52,observed_business_state,0.0,0.0,0.0,1,1,0,-0.0070061083657693,0.0851946973999069
observed_cash_balance_p10,51,observed_business_state,0.0,0.0,0.0,1,1,0,-0.0124097719622782,0.0927654932713064
invoice_payment_delinquency_rate,50,platform_state_intervention,0.0,0.0,0.0,1,1,0,-0.0310539757917447,0.0965088482334708
recent_inquiries_count_6mo,49,credit_context_intervention,0.0,0.5510204081632653,0.0,3,3,0,0.0021305470297031,0.1361160030538955
aggregate_credit_utilization,47,credit_state_intervention,0.0,0.0,0.0,0,0,0,-0.0248873786192498,0.0739666230603381
observed_overdraft_count_3mo,47,observed_business_state,0.0,0.3617021276595745,0.0,0,0,0,0.0453109343434815,0.137332785734209
application_channel,45,application_context_proxy,0.0,0.0,0.0,0,0,0,0.000100287827305,0.1239369413836697
owner_personal_credit_band,45,credit_state_intervention,0.0,0.0,0.0,0,0,0,0.0019984258430111,0.092474150243888
observed_monthly_revenue_avg_3mo,42,observed_business_state,0.0,0.0,0.0,1,1,0,-0.0032693003201753,0.1037160568365531
requested_amount,40,amount_burden_intervention,0.0,0.0,0.0,2,2,0,-0.0105160228887827,0.0995306680616924
stated_annual_revenue,36,self_report_proxy,0.0,0.0,0.0,7,7,0,0.0049774200626655,0.1450187908053108
multi_lender_inquiry_count_30d,34,application_context_proxy,0.0,0.3529411764705882,0.0,7,7,0,0.0011220710860394,0.1299367691129779
account_age_days,20,historical_or_proxy,0.0,0.0,0.0,7,7,0,-0.0012832454979415,0.1498045242063738
platform_active_months,19,historical_or_proxy,0.0,0.4210526315789473,0.0,3,3,0,-0.0009066059186145,0.1517157300923209
days_since_last_inquiry_elsewhere,16,historical_or_proxy,0.0,0.0,0.0,1,1,0,3.8705683106560456e-05,0.1280921596776425
payroll_regularity_score,15,observed_business_state,0.0,0.0,0.0,1,1,0,-0.0012846986372464,0.1005629144071464
employee_count_bucket,14,historical_or_proxy,0.0,0.0,0.0,0,0,0,-0.0003849954113951,0.1316542174252873
prior_loans_default_count,13,historical_or_proxy,0.0,0.3846153846153846,0.0,1,1,0,0.0015502548334038,0.1384319817918562
intended_use_of_funds,12,historical_or_proxy,0.0,0.0,0.0,0,0,0,0.000553752315791,0.1278515885977601
sector,12,historical_or_proxy,0.0,0.0,0.0,0,0,0,0.0005636385272338,0.1093854783251065
vintage_years,12,historical_or_proxy,0.0,0.0,0.0,2,2,0,-0.0004825587313608,0.117797341077308
bookkeeping_recency_days,11,historical_or_proxy,0.0,0.0,0.0,2,2,0,-0.0002304473878481,0.1384305556180821
geography_region,11,historical_or_proxy,0.0,0.0,0.0,0,0,0,0.0004768595489036,0.1312787782129809
days_since_last_external_decline,9,historical_or_proxy,0.0,0.0,0.0,1,1,0,-0.0021686442863867,0.1352797457978878
has_linked_bank_feed,9,measurement_process_intervention,0.0,0.0,0.0,0,0,0,-0.0018188547513211,0.2045752987829998
prior_loans_amount_total,9,historical_or_proxy,0.0,0.0,0.0,0,0,0,0.0017570759367323,0.1162832814268412
prior_loans_count,7,historical_or_proxy,0.0,0.7142857142857143,0.0,0,0,0,0.000194099748445,0.1503760644220936
