feature_name,count,intervention_class,outside_min_max_rate,outside_p01_p99_rate,unseen_category_rate,duplicate_count,mean_delta_raw,mean_delta_final,mean_base_pd,mean_predicted_pd_cf,mean_interval_width,sign_check_rate
stated_time_in_business,68,direct_intervention,0.0,0.0,0.0,0,0.002584497032093275,0.002584497032093275,0.3065827864452289,0.3091672834773222,0.09530250297351925,0.11764705882352941
observed_revenue_trend_3mo,53,direct_intervention,0.0,0.0,0.0,0,-0.0018164048494722384,-0.0018164048494722384,0.31439909081094086,0.3125826859614686,0.08685071392437678,
existing_debt_obligations,52,direct_intervention,0.0,0.0,0.0,0,-0.0008583748030204601,-0.0008583748030204601,0.27960642507389344,0.27874805027087296,0.08182957545689037,0.3076923076923077
observed_revenue_volatility,52,direct_intervention,0.0,0.0,0.0,0,-0.01618218190842925,-0.01618218190842925,0.2597070530867996,0.24352487117837035,0.07645588239906384,
observed_cash_balance_p10,51,direct_intervention,0.0,0.0,0.0,0,0.0007973392373144149,0.0007973392373144149,0.28098925562605026,0.28178659486336466,0.09230968081152979,0.5
invoice_payment_delinquency_rate,50,direct_intervention,0.0,0.0,0.0,0,-0.03591384176103772,-0.03591384176103772,0.29133080265807715,0.2554169608970394,0.09069460417982216,0.96
recent_inquiries_count_6mo,49,direct_intervention,0.0,0.5510204081632653,0.0,2,0.0018383936280349452,0.0018383936280349452,0.31411704469058604,0.315955438318621,0.10658910626549344,0.30952380952380953
aggregate_credit_utilization,47,direct_intervention,0.0,0.0,0.0,0,-0.020786351732002172,-0.020786351732002172,0.25897095972412915,0.238184607992127,0.0895472632269284,0.9148936170212766
observed_overdraft_count_3mo,47,direct_intervention,0.0,0.3617021276595745,0.0,0,0.04811173510895851,0.04811173510895851,0.27528965076268974,0.3234013858716483,0.12577592970731138,0.8947368421052632
application_channel,45,direct_intervention,0.0,0.0,0.0,0,-0.00037233251734845586,-0.00037233251734845586,0.289106783186192,0.2887344506688435,0.09671947893094643,
owner_personal_credit_band,45,direct_intervention,0.0,0.0,0.0,1,-0.00014278000190417404,-0.00014278000190417404,0.25085565351429573,0.2507128735123916,0.08076962538465902,
observed_monthly_revenue_avg_3mo,42,direct_intervention,0.0,0.0,0.0,0,-0.002530268597230326,-0.002530268597230326,0.34914915390332973,0.3466188853060994,0.12220263679647404,0.2608695652173913
requested_amount,40,direct_intervention,0.0,0.0,0.0,0,-0.00766117219887878,-0.00766117219887878,0.336312069666829,0.3286508974679503,0.10238566276701602,
stated_annual_revenue,36,direct_intervention,0.0,0.0,0.0,0,0.01250993409571143,0.01250993409571143,0.29773887211485656,0.310248806210568,0.10328429007153458,0.6666666666666666
multi_lender_inquiry_count_30d,34,direct_intervention,0.0,0.35294117647058826,0.0,0,-0.001672947354810635,-0.001672947354810635,0.25109305311117663,0.24942010575636603,0.08817188883369423,0.0
account_age_days,20,historical_or_proxy,0.0,0.0,0.0,0,-0.0017214407351357906,-0.0006025042572975264,0.3359530822431198,0.33535057798582224,0.13064671300703884,0.4
platform_active_months,19,historical_or_proxy,0.0,0.42105263157894735,0.0,0,-0.002146907946000858,-0.000751417781100299,0.29781836240811826,0.297066944627018,0.13907521470970088,0.2631578947368421
days_since_last_inquiry_elsewhere,16,historical_or_proxy,0.0,0.0,0.0,0,-0.0019773784067121597,-0.0006920824423492559,0.28780744536963604,0.2871153629272868,0.12361687685303781,
payroll_regularity_score,15,direct_intervention,0.0,0.0,0.0,0,0.002448868619791456,0.002448868619791456,0.2791689391030653,0.2816178077228567,0.08994082815899448,0.16666666666666666
employee_count_bucket,14,historical_or_proxy,0.0,0.0,0.0,0,-0.0004184861896143893,-0.0001464701663650326,0.4266539300708444,0.42650745990447936,0.134266745546169,
prior_loans_default_count,13,historical_or_proxy,0.0,0.38461538461538464,0.0,0,-0.002320911149649084,-0.0008123189023771815,0.23052668867359005,0.22971436977121287,0.1357266109490261,0.08333333333333333
intended_use_of_funds,12,historical_or_proxy,0.0,0.0,0.0,0,0.0014350607521240403,0.0005022712632434106,0.4478337746996382,0.44833604596288157,0.13514243981750113,
sector,12,historical_or_proxy,0.0,0.0,0.0,0,0.002026172575862184,0.0007091604015517597,0.24555999792371452,0.24626915832526627,0.10456989435336937,
vintage_years,12,historical_or_proxy,0.0,0.0,0.0,0,0.00014745889788895754,5.1610614261133246e-05,0.19521104910439405,0.1952626597186552,0.12386498312393684,0.5
bookkeeping_recency_days,11,historical_or_proxy,0.0,0.0,0.0,0,-0.003780624698956983,-0.0013232186446349443,0.2574331420728331,0.25610992342819816,0.12812769705429836,
geography_region,11,historical_or_proxy,0.0,0.0,0.0,0,0.00013812137852613077,4.8342482484147794e-05,0.36536440641322093,0.36541274889570513,0.13471246087259395,
days_since_last_external_decline,9,ambiguous,0.0,0.0,0.0,0,-0.0021276586604588358,-0.0010638293302294094,0.36228159551897565,0.36121776618874624,0.16316027740934547,
has_linked_bank_feed,9,historical_or_proxy,0.0,0.0,0.0,0,-0.00012049320970050009,-4.217262339517272e-05,0.43830597598219573,0.43826380335880055,0.17475770708615407,
prior_loans_amount_total,9,historical_or_proxy,0.0,0.0,0.0,0,0.0007822675925964134,0.00027379365740874223,0.2685978851347495,0.2688716787921583,0.11528054425486976,
prior_loans_count,7,historical_or_proxy,0.0,0.7142857142857143,0.0,1,-0.005655810870751514,-0.001979533804763028,0.17538183751809452,0.1734023037133315,0.14839696259983476,
