segment_feature,segment,approved,share_of_approved,prior_declined_approved,requested_amount_total,expected_npv_total,mean_pd,mean_support,mean_margin
has_linked_bank_feed,True,5220,0.6547096450520506,1331,135117149.12239474,9676457.549281295,0.12208563681596858,0.6915014719482311,0.07275303423204452
pd_risk_tier,medium_pd,4725,0.5926251097453907,1470,121898404.19675139,8975660.250870317,0.11441945423986884,0.6727106543830148,0.07454147802292338
support_tier,very_high_support,3301,0.41402232534804967,640,79033213.38338044,6527645.335792002,0.09650999465961455,0.7992617025068746,0.08302380652463204
support_tier,high_support,2999,0.3761444876458046,950,80622859.07773665,5458811.150325211,0.1283648044050291,0.6271310426109371,0.06779611080437732
has_linked_bank_feed,False,2753,0.34529035494794935,814,74867580.6388578,5029762.296339217,0.12466637181560594,0.6255599314157336,0.06819549365899027
owner_personal_credit_band,4,2510,0.3148124921610435,491,65752476.165404275,5130671.189512817,0.10884750428956731,0.7904459904930656,0.07918205269639825
sector,0,2230,0.27969396713909445,588,60175307.770562485,4154384.345521403,0.1270524223064226,0.6519988604177887,0.06996829144416679
owner_personal_credit_band,3,2025,0.2539821898908817,507,53504617.50115299,3781241.4009830775,0.12108533707762538,0.6807349480860238,0.07191302146492792
pd_risk_tier,low_pd,1921,0.24093816631130063,493,50673632.4098275,4232971.728668338,0.06528204602778759,0.7353434534260658,0.08405736962641988
sector,1,1909,0.23943308666750282,517,51127522.72876763,3555143.649685083,0.12473486119411047,0.6602146129249018,0.07065694701438871
support_tier,mid_support,1567,0.196538316819265,533,46879367.96191451,2574605.3141953284,0.16338339191433449,0.49353837927123384,0.05469019841454876
sector,3,1515,0.19001630502947447,375,36817763.49826135,2719836.6872698385,0.11147207383701854,0.7197155737915916,0.07514039900901243
sector,2,1502,0.18838580208202685,437,40182045.186710395,2778233.485290794,0.1262107009713865,0.655388447259817,0.07022021416774295
owner_personal_credit_band,2,1485,0.18625360591997994,431,39288446.08977928,2602443.7549183667,0.12969176331229054,0.61471108147505,0.06738061888104487
owner_personal_credit_band,1,1284,0.16104352188636648,444,33985861.6570187,2144258.8433091887,0.13750646250609325,0.5605828345249452,0.06410830440284457
pd_risk_tier,high_pd,1239,0.15539947322212466,177,34776849.962222666,1434589.0573475142,0.22949892233581076,0.5598070566337271,0.04173641664890213
sector,4,817,0.10247083908190142,228,21682090.576950654,1498621.677853393,0.12313234920775305,0.6643016865036332,0.07012382470613082
owner_personal_credit_band,0,669,0.08390819014172833,272,17453328.347897273,1047604.656897062,0.1389206817072327,0.5032319181240801,0.06093711525923753
support_tier,low_support,106,0.013294870186880723,22,3449289.33822093,145158.04530797072,0.1974172629800671,0.3707609214515555,0.04180537904468673
pd_risk_tier,very_high_pd,88,0.011037250721183996,5,2635843.192450979,62998.808734341466,0.34210965126010606,0.5346660863281396,0.02407865677065109
