cohort,n,approved,npv,default_rate_all,default_rate_approved,mean_pd,mean_pd_approved
1,207,156,160289.50164202333,0.20772946859903382,0.14102564102564102,0.2195439071387577,0.1260628960595973
2,220,167,242978.11213014537,0.2318181818181818,0.1437125748502994,0.2104509659468472,0.12219827722045104
3,189,154,223014.84933282697,0.19576719576719576,0.15584415584415584,0.1978338372410735,0.12642977002109257
4,220,179,291409.5232695807,0.16818181818181818,0.09497206703910614,0.18864183931283204,0.12298139095085793
5,208,152,181318.90052037744,0.25961538461538464,0.17763157894736842,0.22387175045982927,0.12526735641205863
6,199,156,137895.63888125282,0.20100502512562815,0.12179487179487179,0.20889743689731946,0.13078597234826916
7,205,165,232536.1066342629,0.1902439024390244,0.12121212121212122,0.19710545636104773,0.13199340891285957
8,222,166,185471.54674075174,0.22522522522522523,0.14457831325301204,0.21990134935575764,0.12456979569158631
9,174,132,222802.89246099404,0.1896551724137931,0.10606060606060606,0.20991054523129313,0.11619277933353954
10,206,163,212179.12359959923,0.2087378640776699,0.13496932515337423,0.203656628182809,0.12369665366794162
11,177,137,165936.3754607602,0.1977401129943503,0.1386861313868613,0.21216965269203233,0.11899180796325935
12,167,128,175466.1382929947,0.23952095808383234,0.1328125,0.2371610053452098,0.1384346154241461
13,157,120,220916.40418121207,0.15286624203821655,0.06666666666666667,0.20864240940387815,0.12333826894976735
