candidate,threshold,validation_labeled_realized_npv,validation_labeled_approved,validation_labeled_default_rate_approved,validation_all_approval_rate,test_approval_rate,approved_total,headline_expected_npv,auroc,log_loss,brier,mean_pd
regime_1_odds_-0.15,0.020279969666032113,2657249.283513914,1977,0.12999494183105717,0.6088215638226776,0.6075762731087672,8090,15306712.113300186,0.7404036990095291,0.4398607064240432,0.13743534736534155,0.19106499384725745
active_pd_exact_threshold,0.01248385076559354,2654900.6567144124,1976,0.13006072874493926,0.5990198262419247,0.5994102302370421,7974,14706602.849146985,0.7404036990095291,0.43901518444875326,0.13762517102949567,0.21026723178913037
regime_1_odds_-0.10,0.01795151856225824,2654900.6567144124,1976,0.13006072874493926,0.6054800623746937,0.6041737552455484,8045,15103628.313146316,0.7404036990095291,0.4392600458329402,0.1373981404730978,0.19732009664730593
regime_1_odds_-0.05,0.015252735218132843,2654900.6567144124,1976,0.13006072874493926,0.6025840944531076,0.6013383236928661,8007,14905483.453870462,0.7404036990095291,0.4389757765606275,0.1374597941710807,0.2037207201833561
regime_1_odds_+0.00,0.01248385076559354,2654900.6567144124,1976,0.13006072874493926,0.5990198262419247,0.5994102302370421,7974,14706602.849146985,0.7404036990095291,0.43901518444875326,0.13762517102949567,0.21026723178913032
regime_1_odds_+0.05,0.0096456930702014,2654900.6567144124,1976,0.13006072874493926,0.5952327912675429,0.5951003742769649,7919,14477439.71363529,0.7404036990095291,0.43938556992545236,0.13789915718483034,0.21695984656372616
regime_1_odds_-0.30,0.027757061524931063,2654678.9094087784,1976,0.13006072874493926,0.6190688349298284,0.6177838266984235,8226,15907055.885682628,0.7404036990095291,0.44348855100172585,0.13809201179126335,0.17316698072082776
regime_1_odds_-0.25,0.02556341726313862,2654678.9094087784,1976,0.13006072874493926,0.6157273334818445,0.6141544743109901,8179,15705790.981425256,0.7404036990095291,0.4419821755764186,0.13778705407830116,0.17898915652655792
regime_1_odds_-0.20,0.022963715563825284,2654678.9094087784,1976,0.13006072874493926,0.6128313655602584,0.6107519564477714,8136,15508860.950161329,0.7404036990095291,0.4407704945373129,0.1375665831219887,0.18495489832672865
regime_1_odds_+0.10,0.008227758031744166,2652215.1131467815,1975,0.130126582278481,0.5925595901091557,0.5907905183168878,7869,14277305.536612045,0.7404036990095291,0.44009424023879257,0.1382866549848742,0.22379862116208257
regime_1_odds_+0.15,0.005617381553498607,2652215.1131467815,1975,0.130126582278481,0.5894408554243706,0.5876148349778836,7827,14068409.364036951,0.7404036990095291,0.44114850137722444,0.13879257553113367,0.23078344748426877
regime_1_odds_+0.20,0.002645755849208672,2652215.1131467815,1975,0.130126582278481,0.5854310536867899,0.5843257343767722,7780,13843230.094712926,0.7404036990095291,0.44255564967194755,0.1394218310828681,0.23791404626307142
regime_1_odds_-0.35,0.030144197509820208,2651674.8991696197,1975,0.130126582278481,0.6217420360882157,0.621866848134286,8274,16109080.301268153,0.7404036990095291,0.4452824648918253,0.13847676013969606,0.16748745487740124
regime_1_odds_+0.30,-0.001173527038717052,2651098.9814221784,1969,0.12950736414423566,0.5798618846068166,0.5774072813882273,7694,13428361.484395675,0.7404036990095291,0.44645769211648684,0.14106995511227474,0.25261054912752273
regime_1_odds_+0.35,-0.004119300870018838,2651098.9814221784,1969,0.12950736414423566,0.5771886834484294,0.5749121016218669,7660,13215455.407089673,0.7404036990095291,0.4489670505120959,0.142098582627589,0.26017497979765114
regime_1_odds_+0.25,-0.00017220605792540552,2649153.1631467957,1974,0.13019250253292808,0.5832033860548006,0.581943971872519,7749,13637538.073992053,0.7404036990095291,0.4443229630761694,0.14017932727737548,0.24518996055294207
