decile,n,p_min,p_max,mean_predicted_pd,observed_default_rate,abs_error,split
1,256,0.001,0.06369426751592357,0.045588942014025545,0.0546875,0.009098557985974455,validation
2,255,0.06369426751592357,0.0672782874617737,0.06427087610463054,0.07058823529411765,0.006317359189487101,validation
3,255,0.0672782874617737,0.08578856152512998,0.07909484663702611,0.08235294117647059,0.0032580945394444782,validation
4,255,0.08578856152512998,0.10067114093959731,0.08769957301278135,0.1568627450980392,0.06916317208525787,validation
5,255,0.10067114093959731,0.13975155279503104,0.13087949747158092,0.13725490196078433,0.006375404489203401,validation
6,255,0.13975155279503104,0.1967741935483871,0.16775277357143184,0.16470588235294117,0.003046891218490666,validation
7,255,0.1967741935483871,0.2682926829268293,0.21882505425328527,0.18823529411764706,0.030589760135638216,validation
8,255,0.2682926829268293,0.38883349950149554,0.278934675100714,0.23137254901960785,0.04756212608110616,validation
9,255,0.38883349950149554,0.45410628019323673,0.3980460561374633,0.3686274509803922,0.02941860515707112,validation
10,255,0.45410628019323673,0.999,0.6221151439706482,0.6078431372549019,0.014272006715746244,validation
1,5173,0.001,0.046700507614213196,0.03436599521120958,0.053353953218635224,0.018987958007425643,honest_oof
2,5173,0.046700507614213196,0.06896551724137931,0.05688523396239159,0.05702687028803402,0.00014163632564243023,honest_oof
3,5172,0.06896551724137931,0.07557117750439367,0.07151229926998003,0.06728538283062645,0.0042269164393535785,honest_oof
4,5172,0.07557117750439367,0.09210526315789473,0.08169562071708383,0.07695282289249807,0.004742797824585768,honest_oof
5,5172,0.09210526315789473,0.11705685618729098,0.10805842654961328,0.10112142304717711,0.006937003502436173,honest_oof
6,5172,0.11705685618729098,0.15454545454545454,0.13934636706633496,0.1285769528228925,0.010769414243442466,honest_oof
7,5172,0.15454545454545454,0.18604651162790697,0.16443063085392845,0.1597061098221191,0.004724521031809342,honest_oof
8,5172,0.18604651162790697,0.2804878048780488,0.23474743167609002,0.2291183294663573,0.005629102209732728,honest_oof
9,5172,0.2804878048780488,0.41700404858299595,0.33383522493431284,0.31245166279969067,0.02138356213462217,honest_oof
10,5172,0.41700404858299595,0.999,0.594889123600458,0.5591647331786543,0.03572439042180364,honest_oof
